transcription,Spanish,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
íʔ,fuego,fire,,BMAF01152021-1-combine:19:44.0,0:00.5,19:44.0,19:44.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[19_440-19_445].wav,35810241-2
ʂàʒóʔ,nuestro padre,our father (inclusive),,BMAF01292021-1-combine:42:04.6,0:00.9,42:04.6,42:05.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[42_046-42_055].wav,05494573-2
ʒàwàʔ,Estoy comiendo,I'm eating,,BMAF01082021-1-combine:49:31.5,0:00.6,49:31.5,49:32.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[49_315-49_321].wav,51695914-1
nèdá blêɺâ̰ tò nò̰ɺé nèʁê,Ví una mujer ayer,I saw a woman yesterday,,BMAF01082021-1-combine:06:34.8,0:02.9,6:34.8,6:37.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[06_348-06_376].wav,79353727-1
ʐíkwḛ̀,su (resp) perro,his/her (respectful) dog,,BMAF01292021-1-combine:10:08.7,0:00.9,10:08.7,10:09.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[10_087-10_097].wav,56430254-1
ʂnà̰,mi madre,my mother,,BMAF01292021-1-combine:42:39.9,0:00.7,42:39.9,42:40.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[42_399-42_406].wav,50330791-1
ʂtòʒìnà̰,suegra,mother-in-law,,BMAF01152021-1-combine:45:48.5,0:00.9,45:48.5,45:49.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[45_485-45_494].wav,91134100-1
bìn,semilla,seed,,BMAF01082021-1-combine:40:47.9,0:00.6,40:47.9,40:48.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[40_479-40_486].wav,60905354-1
jògòʒá ʒòláʔ,Leo todos los dias,I read everyday,,BMAF02172021-1-combine:37:45.3,0:02.0,37:45.3,37:47.3,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[37_453-37_473].wav,24960248-1
ʂéʔ,su padre (el/ella),his/her father (formal),,BMAF01292021-1-combine:35:27.9,0:00.7,35:27.9,35:28.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[35_279-35_286].wav,62017056-2
ʒèbèlḛ̀lá jògólté,Me gusta; todas/os,I like; all,,BMAF01152021-1-combine:39:26.7,0:02.8,39:26.7,39:29.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[39_267-39_295].wav,86191570-1
nà̰ttí ʒḛ̂ʁá nîss,Estoy tomando agua ahora,I am drinking water now,,BMAF02032021-1-combine:19:29.6,0:02.0,19:29.6,19:31.6,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[19_296-19_316].wav,76118135-1
líʒò,tu casa,your house,,BMAF01292021-1-combine:07:26.0,0:00.7,7:26.0,7:26.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[07_260-07_266].wav,02038252-1
bá bèláʔ,Ya he leído,I have already read,,BMAF02172021-1-combine:45:23.6,0:01.1,45:23.6,45:24.7,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[45_236-45_247].wav,52495152-1
niàʔ,decir,I say,,BMAF01152021-1-combine:08:22.4,0:00.7,8:22.4,8:23.1,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[08_224-08_231].wav,41133244-1
ʂnâ̰,mi madre,my mother,,BMAF01152021-1-combine:41:31.5,0:00.7,41:31.5,41:32.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[41_315-41_322].wav,90630695-1
ʂnà̰tóʔ,nuestra madre,our mother (exclusive),,BMAF01292021-1-combine:45:52.6,0:01.1,45:52.6,45:53.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[45_526-45_537].wav,29188392-1
ʂàtòʔ,nuestro padre,our father (exclusive),,BMAF01292021-1-combine:42:09.3,0:01.1,42:09.3,42:10.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[42_093-42_104].wav,01560020-2
bʒòwá lén wsê,salí con Jose,I went out with Jose,,BMAF02172021-1-combine:26:22.4,0:03.0,26:22.4,26:25.4,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[26_224-26_254].wav,91093368-1
nó léːn(ŋ),con quien,with who,,BMAF02172021-1-combine:22:19.0,0:01.2,22:19.0,22:20.2,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[22_190-22_202].wav,88316991-1
blḛ̀ɺáʔ tò̰ nòʔoɺě nèʁé,Ví una mujer ayer,I saw a woman yesterday,,BMAF01082021-1-combine:03:44.3,0:02.7,3:44.3,3:47.0,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[03_443-03_470].wav,89269112-1
lìʒôʔ,tu/su casa,your house,,BMAF01152021-1-combine:31:35.2,0:00.6,31:35.2,31:35.8,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[31_352-31_358].wav,14201700-1
nàʒá,hoy,today,,BMAF02172021-1-combine:30:53.3,0:01.0,30:53.3,30:54.3,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[30_533-30_543].wav,70914125-1
bí lén(ŋ),como se llama?,what's its name?,,BMAF02172021-1-combine:20:01.9,0:01.6,20:01.9,20:03.5,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[20_019-20_035].wav,20807748-1
nìʔá,pie,my foot,,BMAF01152021-1-combine:08:30.5,0:00.5,8:30.5,8:31.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[08_305-08_310].wav,14274641-2
jélàʔ,banano/plátano,banana,,BMAF02102021-1-combine:28:33.5,0:01.0,28:33.5,28:34.5,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[28_335-28_345].wav,26103068-1
ɺu,,,,BMAF02102021-1-combine:43:06.4,0:00.4,43:06.4,43:06.8,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[43_064-43_068].wav,79558815-1
ʈʂíɻ,pájaro,bird,,BMAF01082021-1-combine:39:28.6,0:00.6,39:28.6,39:29.2,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[39_286-39_292].wav,31051785-2
lìʒkàkéʔ,su casa,their house (formal),,BMAF01152021-1-combine:36:06.7,0:01.2,36:06.7,36:07.9,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[36_067-36_079].wav,27483586-1
ʂnà̰tóʔ,nuestra madre,our mother (exclusive),,BMAF01292021-1-combine:44:13.4,0:01.2,44:13.4,44:14.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[44_134-44_145].wav,29188392-2
ʂábèʔ,tu padre (el/ella),his/her father (informal),,BMAF01292021-1-combine:34:18.6,0:01.1,34:18.6,34:19.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[34_186-34_197].wav,49579967-1
lêvè ʒèʁé nìss jòɣòʒà,él/ella toma agua todos los días,he/she.fam drinks water everyday,,BMAF02032021-1-combine:34:26.4,0:02.6,34:26.4,34:29.0,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[34_264-34_290].wav,36640828-2
nà̰tgé wḛ̀ʁá nìss,Tomé agua ahora,I drank water right now,,BMAF02032021-1-combine:30:54.8,0:01.7,30:54.8,30:56.5,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[30_548-30_565].wav,35772700-1
bèɭ,pez,fish,,BMAF01082021-1-combine:34:27.3,0:00.6,34:27.3,34:27.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[34_273-34_278].wav,86547187-2
,me duele mi pie,,,BMAF01152021-1-combine:17:53.2,0:01.0,17:53.2,17:54.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[17_532-17_543].wav,15654930-1
láwàʔ,ojo,my eye,,BMAF01152021-1-combine:01:51.2,0:00.6,1:51.2,1:51.8,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[01_512-01_518].wav,67772202-1
lén,eso,that,,BMAF02172021-1-combine:15:14.4,0:00.7,15:14.4,15:15.1,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[15_144-15_151].wav,59535688-1
tʂètó,,our (exclusive),,BMAF01152021-1-combine:28:26.4,0:00.6,28:26.4,28:27.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[28_264-28_270].wav,35665925-1
bèɳéʔ,persona,person,,BMAF01082021-1-combine:37:06.5,0:00.5,37:06.5,37:07.0,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_065-37_070].wav,14488708-2
běɭ,pez,fish,,BMAF01082021-1-combine:37:11.5,0:00.6,37:11.5,37:12.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_115-37_121].wav,36082675-1
tʂèʒó,nuestro,our (inclusive),,BMAF01152021-1-combine:27:11.7,0:00.7,27:11.7,27:12.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[27_117-27_124].wav,61883743-2
ʂnò̰,su/tu madre,your mother,,BMAF01292021-1-combine:42:58.0,0:00.7,42:58.0,42:58.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[42_580-42_587].wav,75254881-1
békːò,perro,dog,,BMAF01082021-1-combine:40:27.7,0:00.5,40:27.7,40:28.2,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[40_277-40_282].wav,78221037-1
nàtʰgè ʒòláʔ,Estoy leyendo ahora,I am reading now,,BMAF02172021-1-combine:42:18.7,0:01.5,42:18.7,42:20.2,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[42_187-42_202].wav,40633686-1
nò̰ɺé,mujer,woman,,BMAF01082021-1-combine:01:21.1,0:00.6,1:21.1,1:21.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[01_211-01_217].wav,01559206-1
lḛ̂ ɣàkkè ʒḛ̂ʁɣàkkè nìss jòɣòʒà,ellos toman agua todos los días,they.resp drink water everyday,,BMAF02032021-1-combine:48:08.1,0:04.9,48:08.1,48:13.0,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[48_081-48_130].wav,61952575-1
ʂnà̰ʒó,nuestra madre,our mother (inclusive),,BMAF01292021-1-combine:43:55.0,0:01.1,43:55.0,43:56.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[43_550-43_561].wav,22855367-2
bàwḛ̂ʁá nìss,Ya tomé agua,I already drank water,,BMAF02032021-1-combine:22:33.6,0:01.5,22:33.6,22:35.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[22_336-22_352].wav,54452736-1
nèðá ʒḛ̂ʁá nîss nà̰tgé,Estoy tomando agua ahora,I am drinking water now,,BMAF02032021-1-combine:20:34.7,0:02.6,20:34.7,20:37.3,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[20_347-20_373].wav,62866953-1
bèɭ,pez,fish,,BMAF01082021-1-combine:34:19.8,0:00.5,34:19.8,34:20.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[34_198-34_203].wav,86547187-2
ríkwà̰ ʒàwbá jètʰ,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:06:03.7,0:01.9,6:03.7,6:05.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[06_037-06_055].wav,25623688-1
zwà̰wɪ̂n dà̰ ʒḛ̂ʁà nîss jògòʒà,Estoy sano porque tomo agua todos los días,I am healthy because I drink water everyday,,BMAF02032021-1-combine:15:58.9,0:02.5,15:58.9,16:01.5,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[15_589-16_015].wav,00432212-1
tʂǐʔ,su (el/ella),his/her (formal),,BMAF01152021-1-combine:26:32.7,0:00.6,26:32.7,26:33.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[26_327-26_332].wav,40742289-1
bèɳéʔ,persona,person,,BMAF01082021-1-combine:37:20.1,0:00.6,37:20.1,37:20.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[37_201-37_207].wav,14488708-2
ʂnà̰léʔ,su madre (vuestra),your pl. mother,,BMAF01292021-1-combine:46:02.0,0:01.0,46:02.0,46:03.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[46_020-46_031].wav,75810112-1
léːn,eso,that with pointing,,BMAF02172021-1-combine:14:21.6,0:00.7,14:21.6,14:22.4,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[14_216-14_224].wav,05873479-1
lìʒlé,su/vuestra casa,your house,,BMAF01152021-1-combine:34:59.5,0:00.9,34:59.5,35:00.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[34_595-35_004].wav,47931705-1
ʂàtòʔ,nuestro padre,our father (exclusive),,BMAF01292021-1-combine:37:00.6,0:01.2,37:00.6,37:01.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[37_006-37_017].wav,01560020-2
bʒòwá lén wsè,salí con Jose,I went out with Jose,,BMAF02172021-1-combine:26:04.4,0:02.8,26:04.4,26:07.2,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[26_044-26_072].wav,21367750-1
lːu,,,,BMAF02102021-1-combine:43:06.0,0:00.4,43:06.0,43:06.4,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[43_060-43_064].wav,96866062-1
nìʔá,pie,my foot,,BMAF01152021-1-combine:07:48.7,0:00.6,7:48.7,7:49.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[07_487-07_493].wav,14274641-2
ʂísòʔ,tu agua,your water,,BMAF01292021-1-combine:21:21.5,0:00.8,21:21.5,21:22.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[21_215-21_223].wav,49839296-2
ʐíkwò̰,tu perro,your dog,,BMAF01292021-1-combine:06:46.0,0:00.8,6:46.0,6:46.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[06_460-06_468].wav,57878685-1
zwà̰wɪ̂n,Estoy sano,I am healthy,,BMAF02032021-1-combine:15:41.2,0:01.0,15:41.2,15:42.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[15_412-15_422].wav,12773732-1
báʃtè wḛ̀ʁá nìss,tomé agua hace un rato,I drank water awhile ago,,BMAF02032021-1-combine:29:31.5,0:01.1,29:31.5,29:32.7,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[29_315-29_327].wav,06737503-1
